name	slug	count	level	parent_name	parent_slug	path	name_raw												
30% Sale	30-sale	10	1	Best Offers	best-offers-replica-football-shirt	best-offers-replica-football-shirt/30-sale	— 30% Sale												
Aberdeen	aberdeen	6	1	Other Clubs	other-clubs	other-clubs/aberdeen	— Aberdeen												
AC Milan	ac-milan-replica-football-shirt	41	1	Serie A	serie-a-replica-football-shirt	serie-a-replica-football-shirt/ac-milan-replica-football-shirt	— AC Milan												
ACF Fiorentina	acf-fiorentina-replica-football-shirt	10	1	Serie A	serie-a-replica-football-shirt	serie-a-replica-football-shirt/acf-fiorentina-replica-football-shirt	— ACF Fiorentina												
AFRICA / MIDDLE EAST	africa-middle-east	34	1	International Teams	international-teams	international-teams/africa-middle-east	— AFRICA / MIDDLE EAST												
Aitana Bonmatí	aitana-bonmati	0	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/aitana-bonmati	— Aitana Bonmatí												
Ajax	ajax	0	1	Other Clubs	other-clubs	other-clubs/ajax	— Ajax												
Al Hilal	al-hilal	10	1	Other Clubs	other-clubs	other-clubs/al-hilal	— Al Hilal												
Al Nassr	al-nassr	26	1	Other Clubs	other-clubs	other-clubs/al-nassr	— Al Nassr												
Albania	albania	3	0			albania	Albania												
Alejandro Garnacho Ferreyra	garnacho-17	14	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/garnacho-17	— Alejandro Garnacho Ferreyra												
Alexander Isak	alexander-isak	0	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/alexander-isak	— Alexander Isak												
Alexis Mac Allister	mac-allister-10	3	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/mac-allister-10	— Alexis Mac Allister												
Algeria	algeria	3	0			algeria	Algeria												
Algeria	algeria-international-teams	2	2	AFRICA / MIDDLE EAST	africa-middle-east	international-teams/africa-middle-east/algeria-international-teams	— — Algeria												
Alisson Ramsés Becker	a-becker-1	0	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/a-becker-1	— Alisson Ramsés Becker												
Alkmaar	alkmaar	1	1	Other Clubs	other-clubs	other-clubs/alkmaar	— Alkmaar												
Alphonso Boyle Davies	davies-19	0	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/davies-19	— Alphonso Boyle Davies												
America	america	0	0			america	America												
